Threads MRI JRuby Rubinius
2 1.0 1.0 1.0
3 0.7282543390544834 1.4283769363800272 1.3821286357954785
4 0.6323310720894676 1.7702533233007272 1.6899000355518807
5 0.5872233853541584 1.867285583722161 1.8075661776624963
6 0.5578260044162531 2.0199817874333292 1.968706993912242
7 0.537232329528188 2.1218365673681334 2.019595447480654
8 0.5169920255124484 2.1990030023225517 2.0531787391057934
