Threads UnsynchronizedBank CoarseLockBank FineLockBank TransactionalBank
1 1.0 1.0 1.0 1.0
2 1.3998027829516821 0.42853366464881454 1.4930107753473538 1.7597911378803637
3 1.6421593830334194 0.41667095049606745 1.8040979849593424 2.3968246434250196
4 1.6924095906742618 0.381291748988616 1.970774223458507 2.774029041768143
5 1.8311595241507812 0.3790273556231004 2.1692555775550617 3.178075438449275
6 1.9601104633323108 0.3764572012447171 2.2846271255669968 3.4832668452456237
