Threads UnsynchronizedBank CoarseLockBank FineLockBank TransactionalBank
1 0.6388 0.8105500000000001 5.3137 15.149250000000004
2 0.4563499999999999 1.8914499999999996 3.55905 8.60855
3 0.38899999999999996 1.9453000000000003 2.9453500000000004 6.320549999999999
4 0.37744999999999995 2.1258000000000004 2.69625 5.4611
5 0.34885 2.1384999999999996 2.4495499999999995 4.7668
6 0.32589999999999997 2.1530999999999993 2.32585 4.34915
