# Intel Core i7 2.7 GHz 1x4x2, JRuby 1.7.11, Java 1.8.0-b132
UnsynchronizedBank 1 0.009
UnsynchronizedBank 2 0.261
UnsynchronizedBank 3 0.087
UnsynchronizedBank 4 0.087
UnsynchronizedBank 5 0.09
UnsynchronizedBank 6 0.07
UnsynchronizedBank 7 0.588
UnsynchronizedBank 8 0.059
UnsynchronizedBank 1 0.01
UnsynchronizedBank 2 0.094
UnsynchronizedBank 3 0.07
UnsynchronizedBank 4 0.058
UnsynchronizedBank 5 0.063
UnsynchronizedBank 6 0.056
UnsynchronizedBank 7 0.052
UnsynchronizedBank 8 0.048
UnsynchronizedBank 1 0.002
UnsynchronizedBank 2 0.129
UnsynchronizedBank 3 0.135
UnsynchronizedBank 4 0.116
UnsynchronizedBank 5 0.118
UnsynchronizedBank 6 0.095
UnsynchronizedBank 7 0.088
UnsynchronizedBank 8 0.092
UnsynchronizedBank 1 0.001
UnsynchronizedBank 2 0.169
UnsynchronizedBank 3 0.097
UnsynchronizedBank 4 0.071
UnsynchronizedBank 5 0.057
UnsynchronizedBank 6 0.058
UnsynchronizedBank 7 0.079
UnsynchronizedBank 8 0.074
UnsynchronizedBank 1 0.001
UnsynchronizedBank 2 0.101
UnsynchronizedBank 3 0.068
UnsynchronizedBank 4 0.052
UnsynchronizedBank 5 0.059
UnsynchronizedBank 6 0.054
UnsynchronizedBank 7 0.053
UnsynchronizedBank 8 0.039
UnsynchronizedBank 1 0.002
UnsynchronizedBank 2 0.08
UnsynchronizedBank 3 0.07
UnsynchronizedBank 4 0.088
UnsynchronizedBank 5 0.046
UnsynchronizedBank 6 0.069
UnsynchronizedBank 7 0.069
UnsynchronizedBank 8 0.059
UnsynchronizedBank 1 0.001
UnsynchronizedBank 2 0.089
UnsynchronizedBank 3 0.064
UnsynchronizedBank 4 0.057
UnsynchronizedBank 5 0.046
UnsynchronizedBank 6 0.047
UnsynchronizedBank 7 0.041
UnsynchronizedBank 8 0.039
UnsynchronizedBank 1 0.001
UnsynchronizedBank 2 0.078
UnsynchronizedBank 3 0.07
UnsynchronizedBank 4 0.057
UnsynchronizedBank 5 0.051
UnsynchronizedBank 6 0.054
UnsynchronizedBank 7 0.046
UnsynchronizedBank 8 0.048
UnsynchronizedBank 1 0.001
UnsynchronizedBank 2 0.079
UnsynchronizedBank 3 0.063
UnsynchronizedBank 4 0.066
UnsynchronizedBank 5 0.064
UnsynchronizedBank 6 0.055
UnsynchronizedBank 7 0.047
UnsynchronizedBank 8 0.046
UnsynchronizedBank 1 0.001
UnsynchronizedBank 2 0.08
UnsynchronizedBank 3 0.065
UnsynchronizedBank 4 0.064
UnsynchronizedBank 5 0.057
UnsynchronizedBank 6 0.051
UnsynchronizedBank 7 0.046
UnsynchronizedBank 8 0.04
UnsynchronizedBank 1 0.0
UnsynchronizedBank 2 0.092
UnsynchronizedBank 3 0.118
