# AMD Opteron 6276, 4 sockets, 16 cores, 1 thread, 2.3 GHz, 48 KB L1, 1 MB L2, 16 MB L3
# Ubuntu 12.04
# java version "1.6.0_24"
# OpenJDK Runtime Environment (IcedTea6 1.11.1) (6b24-1.11.1-4ubuntu3)
# OpenJDK 64-Bit Server VM (build 20.0-b12, mixed mode)
# jruby 1.7.11 (1.9.3p392) 2014-02-24 86339bb on Java HotSpot(TM) 64-Bit Server VM 1.7.0_25-b15 [linux-amd64]
UnsynchronizedBank 75 1 3.599
UnsynchronizedBank 75 1 4.214
UnsynchronizedBank 75 1 3.034
UnsynchronizedBank 75 1 4.027
UnsynchronizedBank 75 1 3.024
UnsynchronizedBank 75 1 4.029
UnsynchronizedBank 75 1 3.053
UnsynchronizedBank 75 1 4.011
UnsynchronizedBank 75 1 3.015
UnsynchronizedBank 75 1 3.964
UnsynchronizedBank 75 1 3.033
UnsynchronizedBank 75 1 4.023
UnsynchronizedBank 75 1 3.082
UnsynchronizedBank 75 1 3.05
UnsynchronizedBank 75 1 4.014
UnsynchronizedBank 75 1 3.056
UnsynchronizedBank 75 1 3.992
UnsynchronizedBank 75 1 3.095
UnsynchronizedBank 75 1 4.026
UnsynchronizedBank 75 1 3.135
UnsynchronizedBank 75 1 4.079
UnsynchronizedBank 75 1 3.103
UnsynchronizedBank 75 1 4.06
UnsynchronizedBank 75 1 3.091
UnsynchronizedBank 75 1 4.079
UnsynchronizedBank 75 1 3.094
UnsynchronizedBank 75 1 4.04
UnsynchronizedBank 75 1 3.065
UnsynchronizedBank 75 1 3.084
UnsynchronizedBank 75 1 4.072
UnsynchronizedBank 75 2 2.888
UnsynchronizedBank 75 2 4.047
UnsynchronizedBank 75 2 3.066
UnsynchronizedBank 75 2 4.162
UnsynchronizedBank 75 2 2.913
UnsynchronizedBank 75 2 4.059
UnsynchronizedBank 75 2 3.097
UnsynchronizedBank 75 2 4.189
UnsynchronizedBank 75 2 2.719
UnsynchronizedBank 75 2 4.025
